team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Ath Paranaense,28,21.0,8016,10016,80.0,149649,53705,3259,3702,88.0,3726,4309,86.5,890,1559,57.1,20,22.1,21.9,-2.1,251,744,190,54,894
Atl Goianiense,36,23.0,7379,9642,76.5,142421,54474,2911,3412,85.3,3315,3965,83.6,987,1777,55.5,10,17.1,18.1,-7.1,243,774,165,61,861
Atlético Mineiro,34,21.0,10014,11913,84.1,176803,57846,4504,4946,91.1,4342,4876,89.0,963,1588,60.6,14,15.5,19.2,-1.5,206,818,179,50,941
Bahia,27,23.0,11201,13124,85.3,189504,65060,5173,5645,91.6,4870,5456,89.3,858,1386,61.9,27,25.4,22.3,+1.6,232,845,198,52,1018
Botafogo (RJ),34,23.0,8769,10800,81.2,164072,61476,3517,3999,87.9,4054,4611,87.9,1025,1693,60.5,26,20.6,19.9,+5.4,240,780,174,47,897
Corinthians,39,23.0,7905,10025,78.9,145002,53339,3286,3761,87.4,3518,4097,85.9,893,1580,56.5,15,18.0,20.2,-3.0,258,701,175,56,870
Criciúma,28,21.0,6584,8555,77.0,122055,48409,2798,3272,85.5,2737,3245,84.3,846,1531,55.3,19,17.9,17.7,+1.1,216,611,141,48,727
Cruzeiro,33,22.0,8688,10693,81.2,151286,51777,3997,4469,89.4,3630,4173,87.0,853,1463,58.3,20,14.3,14.1,+5.7,211,738,162,40,835
Cuiabá,27,21.0,7041,8836,79.7,128863,48289,2981,3372,88.4,3039,3544,85.8,812,1397,58.1,12,13.3,12.1,-1.3,172,596,139,51,678
Flamengo,28,22.0,8863,10841,81.8,156411,53748,3978,4437,89.7,3689,4240,87.0,930,1532,60.7,28,21.2,22.4,+6.8,228,803,195,42,940
Fluminense,35,22.0,10103,11947,84.6,158654,53318,5291,5752,92.0,3646,4122,88.5,729,1299,56.1,12,14.8,14.2,-2.8,193,688,125,50,746
Fortaleza,27,22.0,6394,8467,75.5,121146,46277,2706,3110,87.0,2713,3295,82.3,864,1660,52.0,22,20.5,15.0,+1.5,205,598,110,29,668
Grêmio,37,21.0,7503,9505,78.9,130644,47825,3436,3932,87.4,3147,3687,85.4,704,1367,51.5,10,14.8,17.5,-4.8,184,596,160,29,807
Internacional,32,19.0,7544,9452,79.8,131573,45261,3274,3696,88.6,3418,3989,85.7,646,1256,51.4,10,16.2,18.4,-6.2,190,636,145,39,763
Juventude,35,22.0,7602,9662,78.7,140752,50847,3056,3524,86.7,3525,4092,86.1,847,1489,56.9,21,19.0,17.7,+2.0,198,545,116,48,662
Palmeiras,32,23.0,8422,10736,78.4,157453,58462,3483,3993,87.2,3788,4452,85.1,988,1809,54.6,21,27.9,23.3,-6.9,293,823,194,69,1070
Red Bull Bragantino,33,21.0,6789,9006,75.4,123679,46412,2867,3362,85.3,2878,3489,82.5,812,1568,51.8,19,14.7,13.5,+4.3,186,579,130,28,690
São Paulo,32,23.0,10594,12509,84.7,194521,64224,4275,4678,91.4,4902,5435,90.2,1155,1769,65.3,21,17.0,16.8,+4.0,226,831,164,58,925
Vasco da Gama,35,22.0,7639,9719,78.6,139924,52028,3299,3756,87.8,3169,3710,85.4,952,1650,57.7,20,17.2,20.4,+2.8,205,665,163,72,755
Vitória,39,23.0,7310,9328,78.4,131460,47268,3101,3526,87.9,3316,3854,86.0,715,1406,50.9,14,15.4,14.2,-1.4,196,516,110,57,710
