team, players_used, possession, minutes_90s, touches, touches_def_pen_area, touches_def_3rd, touches_mid_3rd, touches_att_3rd, touches_att_pen_area, touches_live_ball, take_ons, take_ons_won, take_ons_won_pct, take_ons_tackled, take_ons_tackled_pct, carries, carries_distance, carries_progressive_distance, progressive_carries, carries_into_final_third, carries_into_penalty_area, miscontrols, dispossessed, passes_received, progressive_passes_received
Ath Paranaense, 28, 51.5, 21.0, 12302, 1202, 3354, 5881, 3192, 495, 12301, 350, 169, 48.3, 153, 43.7, 6867, 34670, 17937, 347, 242, 79, 270, 179, 7921, 876
Atl Goianiense, 36, 45.9, 23.0, 12138, 1272, 3665, 5360, 3252, 448, 12135, 335, 142, 42.4, 171, 51.0, 6411, 34016, 17198, 343, 288, 71, 333, 156, 7300, 854
Atlético Mineiro, 34, 59.7, 21.0, 14117, 1238, 4107, 6814, 3299, 379, 14111, 369, 170, 46.1, 177, 48.0, 8111, 42471, 21234, 362, 318, 63, 317, 194, 9946, 935
Bahia, 27, 55.8, 23.0, 15370, 1490, 4794, 7221, 3477, 398, 15369, 367, 165, 45.0, 165, 45.0, 9241, 46318, 24717, 398, 331, 75, 305, 198, 11125, 1014
Botafogo (RJ), 34, 51.3, 23.0, 13207, 1363, 4086, 6338, 2896, 441, 13201, 316, 156, 49.4, 137, 43.4, 7353, 34806, 17537, 314, 218, 90, 320, 235, 8685, 887
Corinthians, 39, 49.7, 23.0, 12695, 1322, 3971, 5796, 3052, 452, 12694, 434, 190, 43.8, 211, 48.6, 6761, 35793, 18791, 363, 283, 75, 328, 221, 7827, 862
Criciúma, 28, 43.0, 21.0, 10909, 1292, 3767, 4742, 2528, 356, 10909, 365, 177, 48.5, 158, 43.3, 5620, 28723, 14190, 241, 209, 58, 306, 214, 6531, 723
Cruzeiro, 33, 50.8, 21.0, 12363, 1207, 3722, 5852, 2896, 363, 12360, 395, 182, 46.1, 181, 45.8, 6843, 36404, 19356, 343, 270, 66, 289, 173, 8149, 777
Cuiabá, 27, 44.0, 21.0, 11052, 1208, 3547, 5084, 2539, 342, 11047, 349, 181, 51.9, 135, 38.7, 5916, 30791, 15406, 266, 199, 57, 283, 188, 6985, 669
Flamengo, 28, 53.3, 22.0, 13109, 1273, 3747, 6129, 3349, 509, 13104, 445, 206, 46.3, 184, 41.3, 7599, 42527, 22840, 386, 305, 103, 294, 181, 8757, 931
Fluminense, 35, 56.1, 22.0, 14382, 1459, 4876, 6556, 3070, 357, 14381, 537, 233, 43.4, 266, 49.5, 8220, 40977, 20909, 380, 273, 81, 340, 260, 10030, 738
Fortaleza, 27, 41.7, 22.0, 10911, 1231, 3440, 5269, 2333, 369, 10908, 374, 170, 45.5, 151, 40.4, 5641, 30964, 15724, 325, 233, 96, 282, 176, 6336, 660
Grêmio, 37, 47.0, 21.0, 11860, 1077, 3377, 5476, 3159, 414, 11858, 493, 251, 50.9, 212, 43.0, 6158, 33195, 16300, 329, 272, 92, 356, 234, 7442, 798
Internacional, 32, 52.0, 19.0, 11550, 968, 3141, 5653, 2873, 388, 11546, 355, 178, 50.1, 154, 43.4, 6634, 33796, 17507, 324, 228, 61, 301, 163, 7456, 757
Juventude, 35, 47.1, 22.0, 12053, 1653, 4727, 5159, 2276, 330, 12053, 314, 153, 48.7, 128, 40.8, 6547, 34544, 16819, 299, 205, 48, 288, 177, 7527, 655
Palmeiras, 32, 54.3, 23.0, 13270, 1103, 3428, 6365, 3622, 517, 13266, 430, 184, 42.8, 203, 47.2, 7222, 39987, 20807, 376, 302, 77, 320, 206, 8313, 1054
Red Bull Bragantino, 33, 48.1, 21.0, 11473, 1268, 3592, 5134, 2861, 358, 11471, 362, 181, 50.0, 161, 44.5, 5909, 29848, 15170, 285, 248, 87, 317, 200, 6712, 677
São Paulo, 32, 56.7, 23.0, 14764, 1388, 4583, 7220, 3096, 436, 14761, 390, 191, 49.0, 170, 43.6, 8574, 41254, 19944, 347, 297, 75, 313, 196, 10525, 917
Vasco da Gama, 35, 47.7, 22.0, 12161, 1253, 3906, 5658, 2730, 366, 12159, 345, 170, 49.3, 159, 46.1, 6376, 33344, 16574, 288, 257, 52, 293, 196, 7572, 751
Vitória, 39, 43.7, 22.0, 11458, 1335, 3978, 5346, 2252, 328, 11455, 400, 172, 43.0, 184, 46.0, 6508, 36075, 17876, 311, 220, 59, 310, 247, 7065, 688
